patient;studi;use;surviv;group;risk;treatment;associ;clinic;breast
0.16332529345187805;0.0;0.0;0.0;0.13707514603045268;0.0;0.19341660236669692;0.0;0.0;0.0
0.06232351439759266;0.0;0.01527475143305802;0.04788728632853355;0.0;0.0;0.0;0.02107720538001415;0.0;0.0
0.013224378373813815;0.0;0.0;0.0;0.4217587810236535;0.0;0.0;0.0;0.0;0.0
0.03872688086447327;0.035932812408135374;0.01898299493217698;0.0;0.0;0.0;0.0;0.0;0.02443406532012297;0.0
0.18304632121070474;0.03774219741052383;0.059816632277660535;0.0;0.03413923312862242;0.0;0.0;0.0;0.0;0.03877579535050456
0.12676439500837247;0.0;0.0;0.0;0.0;0.034434372409949635;0.0;0.0;0.05331988941978655;0.0
0.05921030874790869;0.0;0.0;0.0;0.0;0.0;0.07011930914716458;0.0;0.0;0.11288585968387906
0.06298063598051483;0.01947890222945862;0.02058107214688637;0.0;0.2114327717810222;0.0;0.0;0.028399249996434627;0.02649103911115645;0.0
0.2038005232640483;0.02701381649297343;0.02854233260454572;0.1789639405797495;0.0;0.0;0.0;0.0;0.0;0.11101443920438488
0.06935172268847155;0.06434813199304033;0.03399456323219447;0.0;0.0;0.0;0.0;0.0;0.08751257443961545;0.0
0.09443219217636835;0.043809547412779794;0.0;0.07255851132739603;0.0;0.05130325865830437;0.0;0.1490348877955459;0.0;0.0
0.1040930127203986;0.0482914530629164;0.0;0.1599631199595495;0.26208858317960065;0.042413852466827426;0.0;0.03520324277183273;0.0;0.0
0.14075395204535654;0.014510981180255967;0.0;0.0;0.0;0.0;0.0;0.0;0.07893893926035685;0.029816750225769063
0.08259341992590014;0.019158616690108213;0.08097065587963935;0.0;0.10397812419207147;0.0;0.02445264037535663;0.0;0.026055455182980157;0.0
0.10807536111859603;0.06685195726806813;0.0;0.22144389911130255;0.0;0.0;0.0;0.09746675787178578;0.0;0.0
0.13112673887997722;0.02027770033237721;0.0;0.0;0.0;0.0;0.1552857354642556;0.0;0.02757739354412502;0.0
0.0;0.06751844804331412;0.04755921848353115;0.03727526963471816;0.0;0.11860142167879237;0.0;0.09843846756689904;0.03060805355404827;0.41620494353853577
0.1910253178948641;0.0;0.0;0.07338870555078843;0.0;0.0;0.08483254607804123;0.03230145072024424;0.0;0.0
0.05350999791084712;0.06206169571269502;0.026229326929715475;0.0;0.04490970518219047;0.0;0.0;0.0;0.0;0.0
0.10665518168661646;0.0;0.0;0.0;0.0;0.0;0.01804364286986237;0.0;0.019226362507960528;0.0
0.08394887475527323;0.03894606409191266;0.05486631949930597;0.0;0.0;0.0;0.0;0.01892712771138085;0.0;0.0
0.07248986824534881;0.05044489987973879;0.07106561493301146;0.0;0.0;0.0;0.021461378892541124;0.0;0.0;0.0
0.11621432720483843;0.0;0.014241374047758668;0.0;0.0;0.0;0.017203229701309452;0.01965127661904734;0.0;0.0
0.02289459508300821;0.0;0.0224447708017551;0.0;0.0;0.14925850683127304;0.0;0.0;0.02888990898563023;0.0
0.04060006541223315;0.0;0.019901185397905356;0.0;0.0;0.03308589384694688;0.024040142656206222;0.0;0.02561591917912036;0.0
0.0;0.014755086582882545;0.0623598800216989;0.0;0.053386116892661845;0.025918460753139774;0.0188323004606466;0.0645365002067623;0.0;0.03031833104435497
0.03824876943047248;0.017744597887923444;0.018748636090822966;0.0;0.0;0.031169770597750193;0.04529578286126815;0.0;0.024132409061010458;0.2552276552191854
0.18064654109677067;0.050283974297787;0.03541945333687993;0.0;0.03032249381267072;0.0;0.0;0.04887432019440641;0.0;0.034440692038020165
